Transcript stable ID	NCBI gene ID
ENSMUST00000050921	
ENSMUST00000238732	
ENSMUST00000211663	
ENSMUST00000211746	
ENSMUST00000130777	
ENSMUST00000180717	
ENSMUST00000183820	
ENSMUST00000087155	14296
ENSMUST00000181603	102636792
ENSMUST00000178429	102636792
ENSMUST00000217212	244864
ENSMUST00000214090	244864
ENSMUST00000214993	244864
ENSMUST00000098782	244864
ENSMUST00000235950	
ENSMUST00000237107	
ENSMUST00000072369	
ENSMUST00000075809	
ENSMUST00000021773	14756
ENSMUST00000128315	14756
ENSMUST00000223873	14756
ENSMUST00000026016	
ENSMUST00000177213	
ENSMUST00000127690	
ENSMUST00000176638	
ENSMUST00000142638	
ENSMUST00000145253	76686
ENSMUST00000150892	76686
ENSMUST00000126216	76686
ENSMUST00000014065	76686
ENSMUST00000144508	76686
ENSMUST00000125935	76686
ENSMUST00000132844	76686
ENSMUST00000179673	
ENSMUST00000044505	18575
ENSMUST00000203372	18575
ENSMUST00000239143	18575
ENSMUST00000203967	18575
ENSMUST00000114327	18575
ENSMUST00000170774	18575
ENSMUST00000203462	18575
ENSMUST00000168944	18575
ENSMUST00000166102	18575
ENSMUST00000166890	18575
ENSMUST00000164752	18575
ENSMUST00000164037	18575
ENSMUST00000204821	18575
ENSMUST00000203492	18575
ENSMUST00000203689	18575
ENSMUST00000210190	
ENSMUST00000124919	
ENSMUST00000149613	
ENSMUST00000139483	
ENSMUST00000209254	
ENSMUST00000209659	
ENSMUST00000136224	
ENSMUST00000209571	
ENSMUST00000209658	
ENSMUST00000209562	
ENSMUST00000211225	
ENSMUST00000210387	
ENSMUST00000210892	
ENSMUST00000210985	
ENSMUST00000059231	212398
ENSMUST00000122200	
ENSMUST00000034945	68250
ENSMUST00000029907	
ENSMUST00000120670	
ENSMUST00000120067	
ENSMUST00000219883	114229
ENSMUST00000045529	114229
ENSMUST00000219745	114229
ENSMUST00000075515	20709
ENSMUST00000203929	
ENSMUST00000178547	
ENSMUST00000029679	
ENSMUST00000107422	
ENSMUST00000183484	
ENSMUST00000153007	72635
ENSMUST00000121777	72635
ENSMUST00000150071	72635
ENSMUST00000128486	72635
ENSMUST00000077967	72635
ENSMUST00000130161	72635
ENSMUST00000133771	72635
ENSMUST00000065323	72635
ENSMUST00000132351	72635
ENSMUST00000153773	72635
ENSMUST00000133199	72635
ENSMUST00000132181	72635
ENSMUST00000033485	54630
ENSMUST00000141876	54630
ENSMUST00000129662	54630
ENSMUST00000123172	54630
ENSMUST00000153994	54630
ENSMUST00000180452	
ENSMUST00000180882	
ENSMUST00000190479	
ENSMUST00000105019	
ENSMUST00000178864	100042493
ENSMUST00000214452	56057
ENSMUST00000216453	56057
ENSMUST00000213680	56057
ENSMUST00000114431	56057
ENSMUST00000213117	56057
ENSMUST00000163754	321003
ENSMUST00000164144	321003
ENSMUST00000163296	321003
ENSMUST00000166831	321003
ENSMUST00000041609	321003
ENSMUST00000165258	321003
ENSMUST00000167799	321003
ENSMUST00000121013	100040899
ENSMUST00000026387	66711
ENSMUST00000139211	66711
ENSMUST00000125625	66711
ENSMUST00000200815	66711
ENSMUST00000201598	66711
ENSMUST00000202780	
ENSMUST00000218888	
ENSMUST00000238652	
ENSMUST00000049887	231042
ENSMUST00000115101	231042
ENSMUST00000147392	231042
ENSMUST00000124150	231042
ENSMUST00000081880	239739
ENSMUST00000228640	
ENSMUST00000178621	
ENSMUST00000220141	
ENSMUST00000180032	
ENSMUST00000181030	
ENSMUST00000209627	
ENSMUST00000043204	70611
ENSMUST00000162855	70611
ENSMUST00000160204	70611
ENSMUST00000161351	70611
ENSMUST00000049703	75015
ENSMUST00000126930	75015
ENSMUST00000149825	75015
ENSMUST00000204873	18489
ENSMUST00000096904	18489
ENSMUST00000203266	18489
ENSMUST00000204760	18489
ENSMUST00000178352	
ENSMUST00000214532	12484
ENSMUST00000058714	12484
ENSMUST00000214476	12484
ENSMUST00000204157	
ENSMUST00000110667	15930
ENSMUST00000033956	15930
ENSMUST00000185226	69438
ENSMUST00000180537	
ENSMUST00000045628	109284
ENSMUST00000219358	109284
ENSMUST00000218970	109284
ENSMUST00000218750	109284
ENSMUST00000217976	109284
ENSMUST00000219206	109284
ENSMUST00000219867	109284
ENSMUST00000171416	109284
ENSMUST00000212941	
ENSMUST00000173192	
ENSMUST00000118717	105387
ENSMUST00000147180	105387
ENSMUST00000041768	105387
ENSMUST00000071399	26436
ENSMUST00000118367	26436
ENSMUST00000131153	26436
ENSMUST00000152671	26436
ENSMUST00000046751	
ENSMUST00000094713	
ENSMUST00000151461	
ENSMUST00000129926	
ENSMUST00000146616	
ENSMUST00000125160	
ENSMUST00000226778	
ENSMUST00000174032	
ENSMUST00000118881	
ENSMUST00000212608	
ENSMUST00000147896	
ENSMUST00000170947	235345
ENSMUST00000211955	
ENSMUST00000206282	
ENSMUST00000205412	
ENSMUST00000088896	330401
ENSMUST00000204353	330401
ENSMUST00000032222	330401
ENSMUST00000172510	330401
ENSMUST00000173110	330401
ENSMUST00000173140	330401
ENSMUST00000173548	330401
ENSMUST00000172909	330401
ENSMUST00000205160	330401
ENSMUST00000173117	330401
ENSMUST00000173031	330401
ENSMUST00000204637	330401
ENSMUST00000204574	330401
ENSMUST00000180654	
ENSMUST00000115829	
ENSMUST00000224144	
ENSMUST00000141199	
ENSMUST00000154128	
ENSMUST00000108653	378425
ENSMUST00000205233	378425
ENSMUST00000108653	115489386
ENSMUST00000205233	115489386
ENSMUST00000206093	
ENSMUST00000105907	52174
ENSMUST00000137622	52174
ENSMUST00000139030	52174
ENSMUST00000134781	52174
ENSMUST00000132713	52174
ENSMUST00000153059	52174
ENSMUST00000114125	628456
ENSMUST00000217971	
ENSMUST00000178207	72244
ENSMUST00000178890	72244
ENSMUST00000179525	72244
ENSMUST00000178876	72244
ENSMUST00000177983	72244
ENSMUST00000179992	72244
ENSMUST00000179503	72244
ENSMUST00000067854	72244
ENSMUST00000165308	72244
ENSMUST00000118496	
ENSMUST00000125965	75015
ENSMUST00000124931	75015
ENSMUST00000147113	75015
ENSMUST00000197989	75015
ENSMUST00000144837	75015
ENSMUST00000119032	
ENSMUST00000033486	18824
ENSMUST00000136155	18824
ENSMUST00000143854	18824
ENSMUST00000233831	
ENSMUST00000074941	22694
ENSMUST00000109363	
ENSMUST00000020507	
ENSMUST00000191525	
ENSMUST00000187396	73575
ENSMUST00000233244	
ENSMUST00000065118	76980
ENSMUST00000190153	
ENSMUST00000105766	
ENSMUST00000189604	
ENSMUST00000118883	
ENSMUST00000172474	
ENSMUST00000183270	
ENSMUST00000205602	
ENSMUST00000217964	
ENSMUST00000186209	
ENSMUST00000202437	
ENSMUST00000185340	
ENSMUST00000210421	
ENSMUST00000033465	170828
ENSMUST00000141936	170828
ENSMUST00000114746	170828
ENSMUST00000114745	170828
ENSMUST00000184647	
ENSMUST00000182374	
ENSMUST00000022531	50523
ENSMUST00000174213	50523
ENSMUST00000173990	50523
ENSMUST00000173964	50523
ENSMUST00000174166	50523
ENSMUST00000038381	50523
ENSMUST00000077981	50523
ENSMUST00000173732	50523
ENSMUST00000173077	50523
ENSMUST00000197922	
ENSMUST00000202061	269639
ENSMUST00000076264	269639
ENSMUST00000201450	269639
ENSMUST00000201859	269639
ENSMUST00000202244	269639
ENSMUST00000201599	269639
ENSMUST00000201945	269639
ENSMUST00000200782	269639
ENSMUST00000222281	
ENSMUST00000199297	
ENSMUST00000060912	
ENSMUST00000219926	
ENSMUST00000212713	
ENSMUST00000052499	66538
ENSMUST00000230189	66538
ENSMUST00000229962	66538
ENSMUST00000212122	
ENSMUST00000160967	
ENSMUST00000222078	
ENSMUST00000190090	
ENSMUST00000074667	20997
ENSMUST00000136922	20997
ENSMUST00000177118	20997
ENSMUST00000048921	
ENSMUST00000188577	
ENSMUST00000214968	
ENSMUST00000038677	107094
ENSMUST00000197516	
ENSMUST00000215599	414125
ENSMUST00000213342	414125
ENSMUST00000216878	414125
ENSMUST00000099888	414125
ENSMUST00000217420	414125
ENSMUST00000216735	414125
ENSMUST00000215845	414125
ENSMUST00000197312	
ENSMUST00000206696	71265
ENSMUST00000205571	71265
ENSMUST00000200122	
ENSMUST00000035822	
ENSMUST00000140512	
ENSMUST00000122273	
ENSMUST00000000080	23849
ENSMUST00000222857	23849
ENSMUST00000221734	23849
ENSMUST00000195289	
ENSMUST00000010286	57916
ENSMUST00000146033	57916
ENSMUST00000139422	57916
ENSMUST00000137832	57916
ENSMUST00000130708	57916
ENSMUST00000123378	57916
ENSMUST00000101103	57916
ENSMUST00000189394	100503197
ENSMUST00000003509	241230
ENSMUST00000150781	241230
ENSMUST00000051706	
ENSMUST00000027256	107734
ENSMUST00000193673	107734
ENSMUST00000161694	107734
ENSMUST00000160082	107734
ENSMUST00000194857	107734
ENSMUST00000195373	107734
ENSMUST00000162513	107734
ENSMUST00000113959	18630
ENSMUST00000113960	18630
ENSMUST00000030555	
ENSMUST00000117109	
ENSMUST00000120677	
ENSMUST00000099309	
ENSMUST00000124193	
ENSMUST00000194311	
ENSMUST00000144629	
ENSMUST00000029274	
ENSMUST00000141736	
ENSMUST00000148157	
ENSMUST00000147773	
ENSMUST00000117352	
ENSMUST00000058692	71785
ENSMUST00000168039	71785
ENSMUST00000214892	71785
ENSMUST00000186042	
ENSMUST00000189146	
ENSMUST00000217559	
ENSMUST00000105987	19273
ENSMUST00000144136	19273
ENSMUST00000030741	19273
ENSMUST00000127633	19273
ENSMUST00000097860	19273
ENSMUST00000123878	19273
ENSMUST00000154224	19273
ENSMUST00000139641	19273
ENSMUST00000133273	
ENSMUST00000105763	
ENSMUST00000148404	68794
ENSMUST00000101617	68794
ENSMUST00000065090	68794
ENSMUST00000080953	14725
ENSMUST00000100051	14725
ENSMUST00000092551	14725
ENSMUST00000128742	14725
ENSMUST00000057236	
ENSMUST00000225464	
ENSMUST00000213139	
ENSMUST00000055022	24100
ENSMUST00000138415	24100
ENSMUST00000204584	24100
ENSMUST00000141163	24100
ENSMUST00000204765	24100
ENSMUST00000135778	24100
ENSMUST00000153874	24100
ENSMUST00000203694	24100
ENSMUST00000203345	24100
ENSMUST00000144405	24100
ENSMUST00000203185	24100
ENSMUST00000151379	24100
ENSMUST00000203648	24100
ENSMUST00000128790	24100
ENSMUST00000152585	24100
ENSMUST00000150236	24100
ENSMUST00000129979	24100
ENSMUST00000123257	24100
ENSMUST00000128171	24100
ENSMUST00000153885	24100
ENSMUST00000148874	24100
ENSMUST00000152045	24100
ENSMUST00000203155	24100
ENSMUST00000214822	
ENSMUST00000116643	
ENSMUST00000218817	
ENSMUST00000204205	
ENSMUST00000118314	245555
ENSMUST00000056502	245555
ENSMUST00000087879	245555
ENSMUST00000216663	
ENSMUST00000214969	
ENSMUST00000100145	
ENSMUST00000118334	
ENSMUST00000180658	
ENSMUST00000121890	
ENSMUST00000143025	
ENSMUST00000145328	58172
ENSMUST00000093292	58172
ENSMUST00000109586	58172
ENSMUST00000109585	58172
ENSMUST00000107958	230088
ENSMUST00000107959	230088
ENSMUST00000107956	230088
ENSMUST00000107957	230088
ENSMUST00000036462	230088
ENSMUST00000135067	230088
ENSMUST00000152846	230088
ENSMUST00000124155	230088
ENSMUST00000144999	230088
